!	! ⚠️ ❕ ❗️
!!	!! ‼️
!?	!? ⁉️
#	# #️⃣
$	$ 💰
$眼睛	$眼睛 🤑
$舌頭	$舌頭 🤑
(C)	(C) ©️ ©️️
(R)	(R) ®️
(c)	(c) ©️ ©️️
*	* *️⃣
+	+ ➕
0	0 👌 0️⃣
01:00	01:00 🕐
01:30	01:30 🕜
02:00	02:00 🕑
02:30	02:30 🕝
03:00	03:00 🕒
03:30	03:30 🕞
04:00	04:00 🕓
04:30	04:30 🕟
05:00	05:00 🕔
05:30	05:30 🕠
06:00	06:00 🕕
06:30	06:30 🕡
07:00	07:00 🕖
07:30	07:30 🕢
08:00	08:00 🕗
08:30	08:30 🕣
09:00	09:00 🕘
09:30	09:30 🕤
0:00	0:00 🕛
0:30	0:30 🕧
0數字鍵	0數字鍵 0️⃣
1	1 ☝️ 1️⃣
10	10 🔟
100	100 💯
100%	100% 💯
100分	100分 💯
100分符號	100分符號 💯
10:00	10:00 🕙
10:30	10:30 🕥
10數字鍵	10數字鍵 🔟
10點	10點 🕙
10點半	10點半 🕥
10點整	10點整 🕙
10點正	10點正 🕙
10點鐘	10點鐘 🕙
11:00	11:00 🕚
11:30	11:30 🕦
11點	11點 🕚
11點半	11點半 🕦
11點整	11點整 🕚
11點正	11點正 🕚
11點鐘	11點鐘 🕚
1234	1234 🔢
12:00	12:00 🕛
12:30	12:30 🕧
12點	12點 🕛
12點半	12點半 🕧
12點整	12點整 🕛
12點正	12點正 🕛
12點鐘	12點鐘 🕛
13:00	13:00 🕐
13:30	13:30 🕜
14:00	14:00 🕑
14:30	14:30 🕝
15:00	15:00 🕒
15:30	15:30 🕞
16:00	16:00 🕓
16:30	16:30 🕟
17:00	17:00 🕔
17:30	17:30 🕠
18:00	18:00 🕕
18:30	18:30 🕡
18歲以下	18歲以下 🔞
18禁	18禁 🔞
18禁符號	18禁符號 🔞
18輪	18輪 🚛
18輪車	18輪車 🚛
19:00	19:00 🕖
19:30	19:30 🕢
1:00	1:00 🕐
1:30	1:30 🕜
1數字鍵	1數字鍵 1️⃣
1級方程式	1級方程式 🏎
1級方程式賽車	1級方程式賽車 🏎
1點	1點 🕐
1點半	1點半 🕜
1點整	1點整 🕐
1點正	1點正 🕐
1點鐘	1點鐘 🕐
2	2 2️⃣
20:00	20:00 🕗
20:30	20:30 🕣
20鎊	20鎊 💷
21:00	21:00 🕘
21:30	21:30 🕤
22:00	22:00 🕙
22:30	22:30 🕥
23:00	23:00 🕚
23:30	23:30 🕦
24:00	24:00 🕛
24小時便利商店	24小時便利商店 🏪
24小時便利店	24小時便利店 🏪
24小時便利超商	24小時便利超商 🏪
24小時商店	24小時商店 🏪
24小時營業商店	24小時營業商店 🏪
24小時營業的商店	24小時營業的商店 🏪
24小時超商	24小時超商 🏪
2:00	2:00 🕑
2:30	2:30 🕝
2個萬字夾	2個萬字夾 🖇
2個迴紋針	2個迴紋針 🖇
2數字鍵	2數字鍵 2️⃣
2點	2點 🕑
2點半	2點半 🕝
2點整	2點整 🕑
2點正	2點正 🕑
2點鐘	2點鐘 🕑
3	3 3️⃣
3:00	3:00 🕒
3:30	3:30 🕞
3數字鍵	3數字鍵 3️⃣
3點	3點 🕒
3點半	3點半 🕞
3點整	3點整 🕒
3點正	3點正 🕒
3點鐘	3點鐘 🕒
4	4 4️⃣
4:00	4:00 🕓
4:30	4:30 🕟
4數字鍵	4數字鍵 4️⃣
4點	4點 🕓
4點半	4點半 🕟
4點整	4點整 🕓
4點正	4點正 🕓
4點鐘	4點鐘 🕓
5	5 ✋ 5️⃣
5:00	5:00 🕔
5:30	5:30 🕠
5數字鍵	5數字鍵 5️⃣
5隻手指	5隻手指 🖐
5點	5點 🕔
5點半	5點半 🕠
5點整	5點整 🕔
5點正	5點正 🕔
5點鐘	5點鐘 🕔
6	6 6️⃣
